Timestamps,AWS/EC2 NetworkIn,AWS/EC2 NetworkOut,System/Linux MemoryUtilization,AWS/EC2 CPUUtilization
2019-10-04 17:35:00+00:00,3490.0,2519.0,0,0.163934426230105
2019-10-04 17:40:00+00:00,3130.0,2277.0,0,0.0
2019-10-04 17:45:00+00:00,3034.0,9317.0,0,0.166666666665757
2019-10-04 17:50:00+00:00,3090.0,8237.0,0,0.166666666667273
2019-10-04 17:55:00+00:00,3180.0,2349.0,0,0.0
2019-10-04 18:00:00+00:00,3034.0,2117.0,0,0.166666666667273
2019-10-04 18:05:00+00:00,3034.0,9289.0,0,0.0
2019-10-04 18:10:00+00:00,2258.0,9421.0,0,0.166666666665757
2019-10-04 18:15:00+00:00,3090.0,5893.0,0,0.166666666667273
2019-10-04 18:20:00+00:00,3034.0,8185.0,0,0.0
2019-10-04 18:25:00+00:00,3844.0,8185.0,0,0.163934426228614
2019-10-04 18:30:00+00:00,3142.0,2249.0,0,0.169491525424345
2019-10-04 18:35:00+00:00,3544.0,2519.0,0,0.0
2019-10-04 18:40:00+00:00,5749.0,8030.0,0,0.166666666667273
2019-10-04 18:45:00+00:00,4538.0,11538.0,0,0.166666666665757
2019-10-04 18:50:00+00:00,3090.0,8157.0,0,0.0
2019-10-04 18:55:00+00:00,3198.0,9317.0,0,0.166666666667273
2019-10-04 19:00:00+00:00,4547.0,4254.0,0,0.169491525422804
2019-10-04 19:05:00+00:00,5003.0,4656.0,0,0.169491525424345
2019-10-04 19:10:00+00:00,2258.0,9317.0,0,0.0
2019-10-04 19:15:00+00:00,4673.0,9289.0,0,0.166666666667273
2019-10-04 19:20:00+00:00,3731.0,10346.0,0,0.169491525422804
2019-10-04 19:25:00+00:00,3166.0,8157.0,0,0.0
2019-10-04 19:30:00+00:00,4563.0,10935.0,0,0.166666666667273
2019-10-04 19:35:00+00:00,2452.0,9369.0,0,0.163934426228614
2019-10-04 19:40:00+00:00,3090.0,2165.0,0,0.163934426230105
2019-10-04 19:45:00+00:00,5434.0,5414.0,0,0.169491525424345
2019-10-04 19:50:00+00:00,3034.0,2117.0,0,0.0
2019-10-04 19:55:00+00:00,3034.0,9289.0,0,0.166666666665757
2019-10-04 20:00:00+00:00,3731.0,8157.0,0,0.169491525424345
2019-10-04 20:05:00+00:00,3490.0,7077.0,0,0.0
2019-10-04 20:10:00+00:00,3198.0,8157.0,0,0.166666666665757
2019-10-04 20:15:00+00:00,2258.0,8157.0,0,0.0
2019-10-04 20:20:00+00:00,3034.0,7025.0,0,0.166666666667273
2019-10-04 20:25:00+00:00,3034.0,2117.0,0,0.0
2019-10-04 20:30:00+00:00,3034.0,4829.0,0,0.166666666667273
2019-10-04 20:35:00+00:00,3034.0,2117.0,0,0.169491525422804
2019-10-04 20:40:00+00:00,3090.0,8157.0,0,0.0
2019-10-04 20:45:00+00:00,5314.0,9317.0,0,0.166666666667273
2019-10-04 20:50:00+00:00,4641.0,13910.0,0,0.163934426228614
2019-10-04 20:55:00+00:00,3090.0,8157.0,0,0.0
2019-10-04 21:00:00+00:00,2202.0,8157.0,0,0.166666666667273
2019-10-04 21:05:00+00:00,171759.0,113734.0,0,1.49999999999939
2019-10-04 21:10:00+00:00,155722.0,106783.0,0,1.33333333333364
2019-10-04 21:15:00+00:00,2202.0,9289.0,0,0.163934426230105
2019-10-04 21:20:00+00:00,3034.0,9509.0,0,0.166666666665757
